Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,target,,,,,,
51,7,3.2,4.7,1.4,Iris-versicolor,0,,,Count of Sepal Length in cm,Column Labels,,
52,6.4,3.2,4.5,1.5,Iris-versicolor,0,,,Row Labels,Iris-versicolor,Iris-virginica,Grand Total
53,6.9,3.1,4.9,1.5,Iris-versicolor,0,,,4.8-5.2,4,1,5
54,5.5,2.3,4,1.3,Iris-versicolor,0,,,5.2-5.6,7,,7
55,6.5,2.8,4.6,1.5,Iris-versicolor,0,,,5.6-6,15,6,21
56,5.7,2.8,4.5,1.3,Iris-versicolor,0,,,6-6.4,13,12,25
57,6.3,3.3,4.7,1.6,Iris-versicolor,0,,,6.4-6.8,8,14,22
58,4.9,2.4,3.3,1,Iris-versicolor,0,,,6.8-7.2,3,6,9
59,6.6,2.9,4.6,1.3,Iris-versicolor,0,,,7.2-7.6,,5,5
60,5.2,2.7,3.9,1.4,Iris-versicolor,0,,,7.6-8,,6,6
61,5,2,3.5,1,Iris-versicolor,0,,,Grand Total,50,50,100
62,5.9,3,4.2,1.5,Iris-versicolor,0,,,,,,
63,6,2.2,4,1,Iris-versicolor,0,,,,,,
64,6.1,2.9,4.7,1.4,Iris-versicolor,0,,,,,,
65,5.6,2.9,3.6,1.3,Iris-versicolor,0,,,,,,
66,6.7,3.1,4.4,1.4,Iris-versicolor,0,,,,,,
67,5.6,3,4.5,1.5,Iris-versicolor,0,,,,,,
68,5.8,2.7,4.1,1,Iris-versicolor,0,,,,,,
69,6.2,2.2,4.5,1.5,Iris-versicolor,0,,,,,,
70,5.6,2.5,3.9,1.1,Iris-versicolor,0,,,,,,
71,5.9,3.2,4.8,1.8,Iris-versicolor,0,,,,,,
72,6.1,2.8,4,1.3,Iris-versicolor,0,,,,,,
73,6.3,2.5,4.9,1.5,Iris-versicolor,0,,,,,,
74,6.1,2.8,4.7,1.2,Iris-versicolor,0,,,,,,
75,6.4,2.9,4.3,1.3,Iris-versicolor,0,,,,,,
76,6.6,3,4.4,1.4,Iris-versicolor,0,,,,,,
77,6.8,2.8,4.8,1.4,Iris-versicolor,0,,,,,,
78,6.7,3,5,1.7,Iris-versicolor,0,,,,,,
79,6,2.9,4.5,1.5,Iris-versicolor,0,,,,,,
80,5.7,2.6,3.5,1,Iris-versicolor,0,,,,,,
81,5.5,2.4,3.8,1.1,Iris-versicolor,0,,,,,,
82,5.5,2.4,3.7,1,Iris-versicolor,0,,,,,,
83,5.8,2.7,3.9,1.2,Iris-versicolor,0,,,,,,
84,6,2.7,5.1,1.6,Iris-versicolor,0,,,Count of SepalWidthCm,Column Labels,,
85,5.4,3,4.5,1.5,Iris-versicolor,0,,,Row Labels,Iris-versicolor,Iris-virginica,Grand Total
86,6,3.4,4.5,1.6,Iris-versicolor,0,,,2-2.2,1,,1
87,6.7,3.1,4.7,1.5,Iris-versicolor,0,,,2.2-2.4,5,1,6
88,6.3,2.3,4.4,1.3,Iris-versicolor,0,,,2.4-2.6,7,4,11
89,5.6,3,4.1,1.3,Iris-versicolor,0,,,2.6-2.8,8,6,14
90,5.5,2.5,4,1.3,Iris-versicolor,0,,,2.8-3,13,10,23
91,5.5,2.6,4.4,1.2,Iris-versicolor,0,,,3-3.2,11,16,27
92,6.1,3,4.6,1.4,Iris-versicolor,0,,,3.2-3.4,4,8,12
93,5.8,2.6,4,1.2,Iris-versicolor,0,,,3.4-3.6,1,2,3
94,5,2.3,3.3,1,Iris-versicolor,0,,,3.6-3.8,,3,3
95,5.6,2.7,4.2,1.3,Iris-versicolor,0,,,Grand Total,50,50,100
96,5.7,3,4.2,1.2,Iris-versicolor,0,,,,,,
97,5.7,2.9,4.2,1.3,Iris-versicolor,0,,,,,,
98,6.2,2.9,4.3,1.3,Iris-versicolor,0,,,,,,
99,5.1,2.5,3,1.1,Iris-versicolor,0,,,,,,
100,5.7,2.8,4.1,1.3,Iris-versicolor,0,,,,,,
101,6.3,3.3,6,2.5,Iris-virginica,1,,,,,,
102,5.8,2.7,5.1,1.9,Iris-virginica,1,,,,,,
103,7.1,3,5.9,2.1,Iris-virginica,1,,,,,,
104,6.3,2.9,5.6,1.8,Iris-virginica,1,,,,,,
105,6.5,3,5.8,2.2,Iris-virginica,1,,,,,,
106,7.6,3,6.6,2.1,Iris-virginica,1,,,,,,
107,4.9,2.5,4.5,1.7,Iris-virginica,1,,,,,,
108,7.3,2.9,6.3,1.8,Iris-virginica,1,,,,,,
109,6.7,2.5,5.8,1.8,Iris-virginica,1,,,,,,
110,7.2,3.6,6.1,2.5,Iris-virginica,1,,,,,,
111,6.5,3.2,5.1,2,Iris-virginica,1,,,,,,
112,6.4,2.7,5.3,1.9,Iris-virginica,1,,,,,,
113,6.8,3,5.5,2.1,Iris-virginica,1,,,,,,
114,5.7,2.5,5,2,Iris-virginica,1,,,,,,
115,5.8,2.8,5.1,2.4,Iris-virginica,1,,,,,,
116,6.4,3.2,5.3,2.3,Iris-virginica,1,,,,,,
117,6.5,3,5.5,1.8,Iris-virginica,1,,,,,,
118,7.7,3.8,6.7,2.2,Iris-virginica,1,,,,,,
119,7.7,2.6,6.9,2.3,Iris-virginica,1,,,,,,
120,6,2.2,5,1.5,Iris-virginica,1,,,,,,
121,6.9,3.2,5.7,2.3,Iris-virginica,1,,,,,,
122,5.6,2.8,4.9,2,Iris-virginica,1,,,,,,
123,7.7,2.8,6.7,2,Iris-virginica,1,,,,,,
124,6.3,2.7,4.9,1.8,Iris-virginica,1,,,,,,
125,6.7,3.3,5.7,2.1,Iris-virginica,1,,,,,,
126,7.2,3.2,6,1.8,Iris-virginica,1,,,,,,
127,6.2,2.8,4.8,1.8,Iris-virginica,1,,,,,,
128,6.1,3,4.9,1.8,Iris-virginica,1,,,,,,
129,6.4,2.8,5.6,2.1,Iris-virginica,1,,,,,,
130,7.2,3,5.8,1.6,Iris-virginica,1,,,,,,
131,7.4,2.8,6.1,1.9,Iris-virginica,1,,,,,,
132,7.9,3.8,6.4,2,Iris-virginica,1,,,,,,
133,6.4,2.8,5.6,2.2,Iris-virginica,1,,,,,,
134,6.3,2.8,5.1,1.5,Iris-virginica,1,,,,,,
135,6.1,2.6,5.6,1.4,Iris-virginica,1,,,,,,
136,7.7,3,6.1,2.3,Iris-virginica,1,,,,,,
137,6.3,3.4,5.6,2.4,Iris-virginica,1,,,,,,
138,6.4,3.1,5.5,1.8,Iris-virginica,1,,,,,,
139,6,3,4.8,1.8,Iris-virginica,1,,,,,,
140,6.9,3.1,5.4,2.1,Iris-virginica,1,,,,,,
141,6.7,3.1,5.6,2.4,Iris-virginica,1,,,,,,
142,6.9,3.1,5.1,2.3,Iris-virginica,1,,,,,,
143,5.8,2.7,5.1,1.9,Iris-virginica,1,,,,,,
144,6.8,3.2,5.9,2.3,Iris-virginica,1,,,,,,
145,6.7,3.3,5.7,2.5,Iris-virginica,1,,,,,,
146,6.7,3,5.2,2.3,Iris-virginica,1,,,,,,
147,6.3,2.5,5,1.9,Iris-virginica,1,,,,,,
148,6.5,3,5.2,2,Iris-virginica,1,,,,,,
149,6.2,3.4,5.4,2.3,Iris-virginica,1,,,,,,
150,5.9,3,5.1,1.8,Iris-virginica,1,,,,,,
